flight_number,origin_station_code,destination_station_code,record_locator,arrival_delay_minutes,passenger_class,number_of_legs,loyalty_program_level,generation,fleet_type_description,actual_flown_miles,food_satisfaction_score,feedback_ID
2411,LAX,IAX,BTXXE0,-13,Economy,3,non-elite,Millennial,B777-200,1379,3,F_1
924,LAX,LHX,BKXX9N,-29,Economy,1,non-elite,Gen X,B787-9,5456,1,F_2
659,EWX,IAX,M4XXTP,177,Economy,2,premier gold,Millennial,B737-MAX8,1400,1,F_3
2614,DEX,EWX,NZXX1X,-17,Economy,2,non-elite,Gen X,B737-900,1605,1,F_4
5372,DEX,DFX,M5XXGW,-14,Economy,1,premier silver,Gen X,ERJ-175,641,4,F_5
2033,MYX,EWX,BNXX5R,97,Economy,1,non-elite,Gen X,A320-200,550,1,F_6
2093,SEX,EWX,L0XXJS,-28,Economy,1,premier silver,Millennial,B737-900,2401,1,F_7
1949,IAX,SFX,I1XXVD,-1,Economy,2,non-elite,Boomer,B777-200,1635,3,F_8
1938,DFX,ORX,MEXXZ3,-17,Economy,1,non-elite,Boomer,A320-200,802,3,F_9
48,FRX,IAX,EMXX9P,51,Economy,1,premier silver,Boomer,B777-200,5233,4,F_10
1922,IAX,SAX,MVXXWP,9,Economy,2,non-elite,Boomer,B737-800,1303,4,F_11
979,IAX,EDX,M9XX8K,-7,Economy,2,non-elite,Gen X,B767-400,3477,2,F_12
2633,EWX,SFX,GVXXT4,5,Economy,1,non-elite,Gen X,B777-300,2565,3,F_13
1960,ANX,DEX,C3XXV1,-9,Economy,1,non-elite,Boomer,B737-800,2405,1,F_14
885,IAX,FCX,EPXXW8,-22,Economy,1,non-elite,Gen X,B787-8,4505,4,F_15
1878,IAX,LAX,NHXX32,94,Economy,2,non-elite,Millennial,B777-200,1379,4,F_16
2378,DEX,AUX,H1XXDS,28,Economy,1,premier gold,Boomer,A320-200,775,2,F_17
3451,EWX,PIX,NYXX01,38,Economy,2,non-elite,Boomer,ERJ-175,319,2,F_18
767,SJX,ORX,D9XXZL,-4,Economy,1,non-elite,Millennial,A320-200,1807,3,F_19
989,FRX,IAX,CDXXXZ,-3,Economy,1,non-elite,Boomer,B777-300,4082,4,F_20
219,HNX,ORX,K0XXM1,-25,Economy,1,non-elite,Boomer,B787-10,4244,2,F_21
285,AUX,EWX,BZXXES,-3,Economy,1,non-elite,Boomer,B737-MAX8,1504,5,F_22
6191,IAX,PIX,F6XXFT,-4,Economy,1,non-elite,Gen X,ERJ-175,1117,4,F_23
486,CHX,EWX,GFXXDS,24,Economy,1,non-elite,Boomer,B737-700,628,3,F_24
3442,EWX,GSX,DCXXGC,-1,Economy,1,non-elite,Gen X,ERJ-170,594,1,F_25
2171,ORX,IAX,C4XX31,28,Economy,1,premier 1k,Boomer,A320-200,589,3,F_26
2344,RSX,DEX,FDXXFF,26,Economy,1,non-elite,Boomer,B737-800,1606,5,F_27
1677,IAX,EWX,JMXXX3,66,Economy,2,non-elite,Gen X,B757-300,213,1,F_28
2066,MCX,IAX,CWXXT3,24,Economy,1,non-elite,Gen X,B737-MAX9,758,2,F_29
1044,AUX,EWX,OJXXL5,-10,Economy,1,non-elite,Boomer,B737-900,1958,2,F_30
188,JNX,EWX,CFXX81,-46,Economy,1,non-elite,Boomer,B787-9,7989,2,F_31
441,DEX,LAX,EXXXH0,28,Economy,2,non-elite,Boomer,B737-800,862,2,F_32
2344,RSX,DEX,FVXXRF,-33,Economy,2,premier 1k,Boomer,B737-800,1606,1,F_33
449,BOX,DEX,CDXXTF,-5,Economy,1,non-elite,Silent,B737-900,1754,1,F_34
1970,EWX,SEX,FXXX6T,-20,Economy,2,premier gold,Gen X,B737-900,2401,2,F_35
2173,PHX,EWX,JXXXSE,-12,Economy,1,premier 1k,Boomer,B737-MAX8,2133,3,F_36
926,LHX,IAX,BYXXC9,-19,Economy,1,premier 1k,Boomer,B767-300,3677,1,F_37
992,BCX,IAX,J0XXQG,-8,Economy,2,non-elite,Gen X,B767-400,4060,4,F_38
944,LIX,IAX,HLXXL2,9,Economy,2,premier gold,Boomer,B757-200,3592,3,F_39
4630,ORX,BJX,GVXX39,-8,Economy,2,non-elite,Boomer,ERJ-175,1648,1,F_40
855,IAX,LIX,GNXXCN,8,Economy,1,premier gold,Millennial,B767-300,3133,2,F_41
2306,ORX,SEX,DHXX19,-25,Economy,1,non-elite,Millennial,B737-900,1721,4,F_42
387,DBX,EWX,C2XX01,65,Economy,1,premier silver,Boomer,B767-300,4526,2,F_43
197,GUX,NRX,AYXX8K,-27,Economy,1,premier gold,Millennial,B737-800,1558,5,F_44
5283,LNX,ORX,OTXX31,-18,Economy,2,non-elite,Boomer,ERJ-175,466,1,F_45
1870,SFX,IAX,J0XXX5,-11,Economy,1,premier gold,Gen X,B777-300,2419,4,F_46
5734,TYX,DEX,P1XX3C,-18,Economy,2,premier 1k,Gen X,ERJ-175,1162,3,F_47
1159,LAX,HNX,M0XXGQ,-7,Economy,1,non-elite,Boomer,B777-200,2556,1,F_48
924,LAX,LHX,CRXXGW,-30,Economy,1,non-elite,Boomer,B787-9,5456,1,F_49
943,IAX,LIX,E3XXLX,-3,Economy,1,non-elite,Gen X,B757-200,3592,1,F_50
333,PDX,ORX,E2XXT2,-13,Economy,1,non-elite,Boomer,B737-900,1739,5,F_51
1059,CUX,IAX,OCXX22,-29,Economy,1,non-elite,Gen X,B737-900,812,5,F_52
909,AMX,ORX,A3XXSG,18,Economy,1,non-elite,Boomer,B787-8,4120,1,F_53
819,EZX,IAX,FNXXFL,-18,Economy,1,premier gold,Boomer,B777-200,5062,4,F_54
1177,PBX,EWX,J4XXPK,-15,Economy,1,non-elite,Silent,B737-900,1024,3,F_55
